Team,Player Name,IPL 2025 Team and Salary,Nationality,Age,IPL 2026 Salary (Cr),Overseas Status,Status,Primary Role,Bowling Type (Spinner/Pacer/NA),Bowling Hand,"Batting Hand (""Right"" or  ""Left"")",Current Batting,Potential Batting,Current Bowling,Potential Bowling,Reputation,Can they keep wickets?,Are they a part time wicketkeeper?,Opener?,Finisher?,Captaincy,Batting Aggression (1-99),hasBattedAt3,hasBattedAt4,hasBattedAt5,hasBattedAt6,hasBattedAt7,2026 Team (Salary),2025 Team (Salary),2024 Team (Salary),2023 Team (Salary),2022 Team (Salary),2021 Team (Salary),2020 Team (Salary),2019 Team (Salary),2018 Team (Salary),2017 Team (Salary),2016 Team (Salary),2015 Team (Salary),2014 Team (Salary),2013 Team (Salary),2012 Team (Salary),2011 Team (Salary),2010 Team (Salary),2009 Team (Salary),2008 Team (Salary)
Rajasthan Royals,Adam Milne,Unsold,New Zealand,34,2.40,Overseas,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,77,77,6,No,No,No,No,60.00,35.00,FALSE,FALSE,FALSE,FALSE,FALSE,RR (2.40 Cr),--,--,--,CSK (1.90 Cr),MI (3.20 Cr),--,MI (75.00 L),--,RCB (70.00 L),RCB (70.00 L),RCB (ⓘ),--,--,--,--,--,--,--
Rajasthan Royals,Donovan Ferreira,DC (0.75 Cr),South Africa,27,1.00,Overseas,Capped,Batter,Spinner,Right Handed Bowler,RHB,78,84,71,74,7,Yes,Yes,No,No,65.00,85.00,FALSE,TRUE,TRUE,TRUE,FALSE,RR (1.00 Cr),DC (75.00 L),RR (50.00 L),RR (50.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Ravi Singh,RR (0.30 Cr),India,25,0.95,Indian,Uncapped,Wicketkeeper-Batter,NA,NA,LHB,75,80,0,0,4,Yes,No,No,No,42.00,85.00,TRUE,TRUE,TRUE,TRUE,FALSE,RR (95.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Kuldeep Sen,PBKS (0.80 Cr),India,29,0.75,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,75,78,7,No,No,No,No,55.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,RR (75.00 L),PBKS (80.00 L),RR (20.00 L),RR (20.00 L),RR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Dasun Shanaka,GT (0.75 Cr),Sri Lanka,34,2.00,Overseas,Capped,All-Rounder,Pacer,Right Handed Bowler,RHB,76,76,73,73,7,No,No,No,No,75.00,85.00,FALSE,TRUE,TRUE,TRUE,TRUE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Kwena Maphaka,RR (1.50 Cr),South Africa,20,1.50,Overseas,Uncapped,Bowler (Pace),Pacer,Left Handed Bowler,LHB,0,0,74,89,7,No,No,No,No,35.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,RR (1.50 Cr),RR (1.50 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Brijesh Sharma,Unsold,India,27,0.3,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,78,82,4,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,RR (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Shubham Dubey,RR (5.80 Cr),India,31,5.80,Indian,Uncapped,Batter,NA,NA,LHB,74,78,0,0,6,No,No,No,Yes,60.00,85.00,FALSE,FALSE,TRUE,TRUE,TRUE,RR (80.00 L),RR (80.00 L),RR (5.80 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Kumar Kartikeya,RR (0.30 Cr),India,28,0.30,Indian,Uncapped,Bowler (Spinner),Spinner,Left Handed Bowler,RHB,0,0,76,76,4,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Lhuan-dre Pretorius,RR (0.30 Cr),South Africa,20,0.30,Overseas,Uncapped,Wicketkeeper-Batter,NA,NA,LHB,74,90,0,0,4,Yes,No,No,No,70.00,85.00,TRUE,TRUE,TRUE,TRUE,FALSE,RR (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Sushant Mishra,GT (2.20 Cr),India,25,0.90,Indian,Uncapped,Bowler (Pace),Pacer,Left Handed Bowler,LHB,0,0,71,79,4,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,RR (90.00 L),--,GT (2.20 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rajasthan Royals,Yudhvir Singh,RR (0.35 Cr),India,28,0.35,Indian,Uncapped,All-Rounder,Pacer,Right Handed Bowler,RHB,68,75,70,76,3,No,No,No,No,45.00,75.00,FALSE,FALSE,FALSE,TRUE,TRUE,RR (35.00 L),RR (35.00 L),LSG (20.00 L),LSG (20.00 L),--,MI (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--
Delhi Capitals,Rishabh Pant,LSG (27.00 Cr),India,28,15.00,Indian,Capped,Wicketkeeper-Batter,NA,NA,LHB,84,87,0,0,9,Yes,No,No,Yes,80.00,85.00,FALSE,FALSE,TRUE,TRUE,TRUE,LSG (27.00 Cr),LSG (27.00 Cr),DC (16.00 Cr),DC (16.00 Cr),DC (16.00 Cr),DC (8.00 Cr),DC (8.00 Cr),DC (8.00 Cr),DD (8.00 Cr),DD (1.90 Cr),DD (1.90 Cr),--,--,--,--,--,--,--,--
Lucknow Super Giants,Nicholas Pooran,LSG (21.00 Cr),West Indies,30,21.00,Overseas,Capped,Wicketkeeper-Batter,NA,NA,LHB,86,88,0,0,9,Yes,No,No,Yes,80.00,85.00,TRUE,TRUE,TRUE,FALSE,FALSE,LSG (21.00 Cr),LSG (21.00 Cr),LSG (16.00 Cr),LSG (16.00 Cr),SRH (10.75 Cr),PBKS (4.20 Cr),KXIP (4.20 Cr),KXIP (4.20 Cr),--,MI (30.00 L),--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Mohammed Shami,SRH (10.00 Cr),India,35,10.00,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,86,86,9,No,No,No,No,75.00,35.00,FALSE,FALSE,FALSE,FALSE,FALSE,LSG (10.00 Cr),SRH (10.00 Cr),GT (6.25 Cr),GT (6.25 Cr),GT (6.25 Cr),PBKS (4.80 Cr),KXIP (4.80 Cr),KXIP (4.80 Cr),DD (3.00 Cr),DD (ⓘ),DD (4.25 Cr),DD (4.25 Cr),DD (4.25 Cr),KKR (10.00 L),KKR (10.00 L),KKR (10.00 L),--,--,--
Lucknow Super Giants,Wanindu Hasaranga,RR (5.25 Cr),Sri Lanka,28,2.00,Overseas,Capped,All-Rounder,Spinner,Right Handed Bowler,RHB,75,76,79,82,8,No,No,No,No,80.00,75.00,FALSE,TRUE,TRUE,TRUE,TRUE,LSG (2.00 Cr),RR (5.25 Cr),SRH (1.50 Cr),RCB (10.75 Cr),RCB (10.75 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Mitchell Marsh,LSG (3.40 Cr),Australia,34,3.40,Overseas,Capped,All-Rounder,Pacer,Right Handed Bowler,RHB,84,84,76,76,8,No,No,Yes,No,84.00,82.00,TRUE,FALSE,FALSE,FALSE,FALSE,LSG (3.40 Cr),LSG (3.40 Cr),DC (6.50 Cr),DC (6.50 Cr),DC (6.50 Cr),SRH (2.00 Cr),SRH (2.00 Cr),--,--,RPSG (ⓘ),RPSG (4.80 Cr),--,--,PWI (1.54 Cr),PWI (ⓘ),PWI (1.31 Cr),DCG (20.00 L),--,--
Lucknow Super Giants,Anrich Nortje,KKR (6.50 Cr),South Africa,32,2.00,Overseas,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,80,80,8,No,No,No,No,60.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,LSG (2.00 Cr),KKR (6.50 Cr),DC (6.50 Cr),DC (6.50 Cr),DC (6.50 Cr),DC (50.00 L),--,KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Mayank Yadav,LSG (11.00 Cr),India,24,11.00,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,78,88,8,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,LSG (11.00 Cr),LSG (11.00 Cr),LSG (20.00 L),LSG (20.00 L),LSG (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Avesh Khan,LSG (9.75 Cr),India,29,9.75,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,82,82,8,No,No,No,No,55.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,LSG (9.75 Cr),LSG (9.75 Cr),RR (10.00 Cr),LSG (10.00 Cr),LSG (10.00 Cr),DC (70.00 L),DC (70.00 L),DC (70.00 L),DD (70.00 L),RCB (10.00 L),--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Josh Inglis,PBKS (2.60 Cr),Australia,31,8.60,Overseas,Capped,Wicketkeeper-Batter,NA,NA,RHB,85,85,0,0,8,Yes,No,Yes,No,75.00,85.00,TRUE,FALSE,FALSE,FALSE,FALSE,LSG (8.60 Cr),PBKS (2.60 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Aiden Markram,LSG (2.00 Cr),South Africa,31,2.00,Overseas,Capped,Batter,Spinner,Right Handed Bowler,RHB,83,83,70,70,8,No,No,Yes,No,88.00,85.00,TRUE,FALSE,FALSE,FALSE,FALSE,LSG (2.00 Cr),LSG (2.00 Cr),SRH (2.60 Cr),SRH (2.60 Cr),SRH (2.60 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Mohsin Khan,LSG (4.00 Cr),India,27,4.00,Indian,Uncapped,Bowler (Pace),Pacer,Left Handed Bowler,LHB,0,0,80,85,7,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,LSG (4.00 Cr),--,LSG (20.00 L),LSG (20.00 L),LSG (20.00 L),MI (20.00 L),MI (20.00 L),--,MI (20.00 L),--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Shahbaz Ahmed,LSG (2.40 Cr),India,31,2.40,Indian,Capped,All-Rounder,Spinner,Left Handed Bowler,LHB,75,77,76,78,7,No,No,No,No,55.00,65.00,FALSE,TRUE,TRUE,TRUE,TRUE,LSG (2.40 Cr),LSG (2.40 Cr),SRH (2.40 Cr),RCB (2.40 Cr),RCB (2.40 Cr),RCB (20.00 L),RCB (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Ayush Badoni,LSG (4.00 Cr),India,26,4.00,Indian,Uncapped,Batter,Spinner,Right Handed Bowler,RHB,78,83,72,75,7,No,No,No,Yes,45.00,78.00,FALSE,FALSE,TRUE,TRUE,TRUE,LSG (4.00 Cr),LSG (4.00 Cr),LSG (20.00 L),LSG (20.00 L),LSG (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Abdul Samad,LSG (4.20 Cr),India,24,4.20,Indian,Uncapped,Batter,Spinner,Right Handed Bowler,RHB,76,81,65,65,6,No,No,No,No,55.00,85.00,FALSE,TRUE,TRUE,TRUE,FALSE,LSG (4.20 Cr),LSG (4.20 Cr),SRH (4.00 Cr),SRH (4.00 Cr),SRH (4.00 Cr),SRH (20.00 L),SRH (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Matthew Breetzke,LSG (0.75 Cr),South Africa,27,0.75,Overseas,Capped,Batter,NA,Right Handed Bowler,RHB,76,81,0,0,7,Yes,Yes,Yes,No,76.00,85.00,TRUE,FALSE,FALSE,FALSE,FALSE,LSG (75.00 L),LSG (75.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Manimaran Siddharth,LSG (0.75 Cr),India,27,0.75,Indian,Uncapped,Bowler (Spinner),Spinner,NA,RHB,0,0,74,79,4,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,LSG (75.00 L),LSG (75.00 L),LSG (2.40 Cr),--,--,DC (20.00 L),KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Digvesh Rathi,LSG (0.30 Cr),India,26,0.30,Indian,Uncapped,Bowler (Spinner),Spinner,Right Handed Bowler,RHB,0,0,79,82,4,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,LSG (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Himmat Singh,LSG (0.30 Cr),India,29,0.30,Indian,Uncapped,Batter,NA,NA,RHB,72,76,0,0,4,No,No,No,No,60.00,65.00,FALSE,TRUE,TRUE,TRUE,FALSE,LSG (30.00 L),LSG (30.00 L),--,--,--,--,--,RCB (65.00 L),--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Akash Singh,LSG (0.30 Cr),India,24,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Left Handed Bowler,RHB,0,0,72,79,4,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,LSG (30.00 L),--,SRH (20.00 L),--,--,--,RR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Arshin Kulkarni,LSG (0.30 Cr),India,21,0.30,Indian,Uncapped,All-Rounder,Spinner,Right Handed Bowler,RHB,70,80,65,78,3,No,No,No,No,35.00,82.00,FALSE,TRUE,TRUE,TRUE,TRUE,LSG (30.00 L),LSG (30.00 L),LSG (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Prince Yadav,LSG (0.30 Cr),India,24,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,81,87,3,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,LSG (30.00 L),LSG (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Akshat Raghuwanshi,LSG (2.20 Cr),India,22,2.20,Indian,Uncapped,Batter,NA,NA,RHB,74,83,0,0,4,No,No,No,No,35.00,75.00,FALSE,TRUE,TRUE,TRUE,FALSE,LSG (2.20 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Arjun Tendulkar,MI (0.30 Cr),India,26,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Left Handed Bowler,LHB,63,69,75,81,3,No,No,No,No,40.00,75.00,FALSE,TRUE,TRUE,TRUE,FALSE,LSG (30.00 L),MI (30.00 L),MI (30.00 L),MI (30.00 L),MI (30.00 L),MI (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Mukul Choudhary,Unsold,India,21,2.60,Indian,Uncapped,Wicketkeeper-Batter,NA,NA,RHB,75,84,0,0,4,Yes,No,No,No,35.00,85.00,TRUE,TRUE,TRUE,TRUE,FALSE,LSG (2.60 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Lucknow Super Giants,Naman Tiwari,Unsold,India,20,1.00,Indian,Uncapped,Bowler (Pace),Pacer,Left Handed Bowler,LHB,0,0,68,80,4,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,LSG (1.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Abhishek Sharma,SRH (14.00 Cr),India,25,14.00,Indian,Capped,All-Rounder,Spinner,Left Handed Bowler,LHB,90,93,69,74,9,No,No,Yes,No,74.00,85.00,TRUE,FALSE,FALSE,FALSE,FALSE,SRH (14.00 Cr),SRH (14.00 Cr),SRH (6.50 Cr),SRH (6.50 Cr),SRH (6.50 Cr),SRH (55.00 L),SRH (55.00 L),SRH (55.00 L),DD (55.00 L),--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Heinrich Klaasen,SRH (23.00 Cr),South Africa,34,23.00,Overseas,Capped,Wicketkeeper-Batter,NA,NA,RHB,91,91,0,0,9,Yes,No,No,Yes,72.00,92.00,FALSE,FALSE,TRUE,TRUE,TRUE,SRH (23.00 Cr),SRH (23.00 Cr),SRH (5.25 Cr),SRH (5.25 Cr),--,--,--,RCB (50.00 L),--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Travis Head,SRH (14.00 Cr),Australia,32,14.00,Overseas,Capped,Batter,NA,NA,LHB,89,89,60,60,9,No,No,Yes,No,82.00,95.00,TRUE,FALSE,FALSE,FALSE,FALSE,SRH (14.00 Cr),SRH (14.00 Cr),SRH (6.80 Cr),--,--,--,--,--,--,RCB (50.00 L),RCB (50.00 L),--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Pat Cummins,SRH (18.00 Cr),Australia,33,18.00,Overseas,Capped,All-Rounder,Pacer,Right Handed Bowler,RHB,71,71,85,85,9,No,No,No,No,92.00,75.00,FALSE,TRUE,TRUE,TRUE,TRUE,SRH (18.00 Cr),SRH (18.00 Cr),SRH (20.50 Cr),--,KKR (7.25 Cr),KKR (15.50 Cr),KKR (15.50 Cr),--,MI (5.40 Cr),DD (4.50 Cr),--,KKR (1.00 Cr),KKR (1.00 Cr),--,--,--,--,--,--
Sunrisers Hyderabad,Ishan Kishan,SRH (11.25 Cr),India,27,11.25,Indian,Capped,Wicketkeeper-Batter,NA,NA,LHB,88,90,0,0,9,Yes,No,Yes,No,80.00,85.00,TRUE,FALSE,FALSE,FALSE,FALSE,SRH (11.25 Cr),SRH (11.25 Cr),MI (15.25 Cr),MI (15.25 Cr),MI (15.25 Cr),MI (6.20 Cr),MI (6.20 Cr),MI (6.20 Cr),MI (6.20 Cr),GL (35.00 L),GL (35.00 L),--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Harshal Patel,SRH (8.00 Cr),India,35,8.00,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,80,80,8,No,No,No,No,75.00,75.00,FALSE,FALSE,FALSE,FALSE,FALSE,SRH (8.00 Cr),SRH (8.00 Cr),PBKS (11.75 Cr),RCB (10.75 Cr),RCB (10.75 Cr),RCB (20.00 L),DC (20.00 L),DC (20.00 L),DD (20.00 L),RCB (40.00 L),RCB (40.00 L),RCB (40.00 L),RCB (40.00 L),RCB (8.00 L),RCB (8.00 L),--,--,--,--
Sunrisers Hyderabad,Kamindu Mendis,SRH (0.75 Cr),Sri Lanka,27,0.75,Overseas,Capped,All-Rounder,Spinner,Ambidextrous Bowler,LHB,82,84,77,82,8,No,No,Yes,No,72.00,82.00,TRUE,FALSE,FALSE,FALSE,FALSE,SRH (75.00 L),SRH (75.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Nitish Kumar Reddy,SRH (6.00 Cr),India,23,6.00,Indian,Capped,All-Rounder,Pacer,Right Handed Bowler,RHB,81,87,76,83,8,No,No,No,No,55.00,82.00,FALSE,TRUE,TRUE,TRUE,TRUE,SRH (6.00 Cr),SRH (6.00 Cr),SRH (20.00 L),SRH (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Liam Livingstone,RCB (8.75 Cr),England,32,13.00,Overseas,Capped,All-Rounder,Spinner,Right Handed Bowler,RHB,80,80,77,77,8,No,No,No,Yes,74.00,78.00,FALSE,FALSE,TRUE,TRUE,TRUE,SRH (13.00 Cr),RCB (8.75 Cr),PBKS (11.50 Cr),PBKS (11.50 Cr),PBKS (11.50 Cr),RR (75.00 L),--,RR (50.00 L),--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Brydon Carse,SRH (1.00 Cr),England,30,1.00,Overseas,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,59,59,76,76,7,No,No,No,No,60.00,78.00,FALSE,TRUE,TRUE,TRUE,FALSE,SRH (1.00 Cr),SRH (1.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Jaydev Unadkat,SRH (1.00 Cr),India,34,1.00,Indian,Capped,Bowler (Pace),Pacer,Left Handed Bowler,RHB,0,0,76,76,7,No,No,No,No,80.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,SRH (1.00 Cr),SRH (1.00 Cr),SRH (1.60 Cr),LSG (50.00 L),MI (1.30 Cr),RR (3.00 Cr),RR (3.00 Cr),RR (8.40 Cr),RR (11.50 Cr),RPSG (30.00 L),KKR (1.60 Cr),DD (1.10 Cr),DD (2.80 Cr),RCB (2.79 Cr),KKR (1.21 Cr),KKR (1.13 Cr),--,--,--
Sunrisers Hyderabad,Jack Edwards,SRH (3.00 Cr),Australia,26,3.00,Overseas,Capped,Bowler (Pace),Pacer,Left Handed Bowler,RHB,0,0,74,80,6,No,No,No,No,55.00,65.00,FALSE,FALSE,FALSE,FALSE,FALSE,SRH (3.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Shivam Mavi,Unsold,India,27,3.00,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,75,79,7,No,No,No,No,45.00,30.00,FALSE,FALSE,FALSE,FALSE,FALSE,SRH (75.00 L),--,LSG (6.40 Cr),GT (6.00 Cr),KKR (7.25 Cr),KKR (3.00 Cr),KKR (3.00 Cr),KKR (3.00 Cr),KKR (3.00 Cr),--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Eshan Malinga,SRH (1.20 Cr),Sri Lanka,25,1.20,Overseas,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,LHB,0,0,79,85,6,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,SRH (1.20 Cr),SRH (1.20 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Zeeshan Ansari,SRH (0.40 Cr),India,26,0.40,Indian,Uncapped,Bowler (Spinner),Spinner,Right Handed Bowler,RHB,0,0,72,78,3,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,SRH (40.00 L),SRH (40.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Aniket Verma,SRH (0.30 Cr),India,24,0.30,Indian,Uncapped,Batter,NA,Right Handed Bowler,RHB,73,83,0,0,3,No,No,No,No,40.00,82.00,FALSE,TRUE,TRUE,TRUE,FALSE,SRH (30.00 L),SRH (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Harsh Dubey,SRH (0.30 Cr),India,24,0.30,Indian,Uncapped,All-Rounder,Spinner,Left Handed Bowler,LHB,70,77,75,82,4,No,No,No,No,48.00,75.00,FALSE,TRUE,TRUE,TRUE,TRUE,SRH (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Salil Arora,Unsold,India,24,1.50,Indian,Uncapped,Wicketkeeper-Batter,NA,NA,RHB,75,80,0,0,4,Yes,No,No,No,42.00,85.00,TRUE,TRUE,TRUE,TRUE,FALSE,SRH (1.50 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Smaran Ravichandran,SRH (0.30 Cr),India,23,0.30,Indian,Uncapped,Batter,Pacer,Right Handed Bowler,LHB,71,78,56,61,3,No,No,No,No,40.00,82.00,FALSE,TRUE,TRUE,TRUE,FALSE,SRH (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Shivang Kumar,Unsold,India,23,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,75,83,3,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,SRH (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Sakib Hussain,Unsold,India,21,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,78,88,4,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,SRH (30.00 L),--,KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Omkar Tarmale,Unsold,India,22,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,65,76,3,No,No,No,No,35.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,SRH (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Krains Fuletra,Unsold,India,23,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,64,75,3,No,No,No,No,38.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,SRH (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Praful Hinge,Unsold,India,24,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,77,82,4,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,SRH (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sunrisers Hyderabad,Amit Kumar,SRH (0.30 Cr),India,22,0.30,Indian,Uncapped,All-Rounder,Spinner,Right Handed Bowler,RHB,63,75,62,74,3,No,No,No,No,35.00,75.00,FALSE,FALSE,FALSE,TRUE,TRUE,SRH (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Punjab Kings,Arshdeep Singh,PBKS (18.00 Cr),India,27,18.00,Indian,Capped,Bowler (Pace),Pacer,Left Handed Bowler,LHB,0,0,86,88,8,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,PBKS (18.00 Cr),PBKS (18.00 Cr),PBKS (4.00 Cr),PBKS (4.00 Cr),PBKS (4.00 Cr),PBKS (20.00 L),KXIP (20.00 L),KXIP (20.00 L),--,--,--,--,--,--,--,--,--,--,--
Punjab Kings,Yuzvendra Chahal,PBKS (18.00 Cr),India,35,18.00,Indian,Capped,Bowler (Spinner),Spinner,Right Handed Bowler,RHB,0,0,85,85,9,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,PBKS (18.00 Cr),PBKS (18.00 Cr),RR (6.50 Cr),RR (6.50 Cr),RR (6.50 Cr),RCB (6.00 Cr),RCB (6.00 Cr),RCB (6.00 Cr),RCB (6.00 Cr),RCB (10.00 L),RCB (10.00 L),RCB (10.00 L),RCB (10.00 L),MI (10.00 L),MI (10.00 L),MI (10.00 L),--,--,--
Punjab Kings,Shreyas Iyer,PBKS (26.75 Cr),India,31,26.75,Indian,Capped,Batter,Spinner,Right Handed Bowler,RHB,86,88,60,60,9,No,No,No,No,88.00,80.00,TRUE,TRUE,TRUE,FALSE,FALSE,PBKS (26.75 Cr),PBKS (26.75 Cr),KKR (12.25 Cr),KKR (12.25 Cr),KKR (12.25 Cr),DC (7.00 Cr),DC (7.00 Cr),DC (7.00 Cr),DD (7.00 Cr),DD (2.60 Cr),DD (2.60 Cr),DD (2.60 Cr),--,--,--,--,--,--,--
